LSOA11CD,LSOA11NM,MSOA11CD,MSOA11NM,LAD11CD,LAD11NM,RGN11CD,RGN11NM,USUALRES,HHOLDRES,COMESTRES,POPDEN,HHOLDS,AVHHOLDSZ,night_bus_stop_count,night_tube_station_count,night_transit_score
E01000327,Bexley 017A,E02000081,Bexley 017,E09000004,Bexley,E12000007,London,1543,1543,0,39.4,604,2.6,3,0,3
E01000328,Bexley 017B,E02000081,Bexley 017,E09000004,Bexley,E12000007,London,1480,1470,10,27.2,596,2.5,0,0,0
E01000329,Bexley 017C,E02000081,Bexley 017,E09000004,Bexley,E12000007,London,1316,1299,17,27.4,517,2.5,2,0,2
E01000330,Bexley 017D,E02000081,Bexley 017,E09000004,Bexley,E12000007,London,1544,1544,0,60.5,772,2.0,5,0,5
E01000331,Bexley 017E,E02000081,Bexley 017,E09000004,Bexley,E12000007,London,1630,1630,0,30.5,617,2.6,1,0,1
E01000332,Bexley 005A,E02000069,Bexley 005,E09000004,Bexley,E12000007,London,1529,1529,0,55.0,611,2.5,0,0,0
E01000333,Bexley 003A,E02000067,Bexley 003,E09000004,Bexley,E12000007,London,1666,1653,13,57.3,793,2.1,0,0,0
E01000334,Bexley 006A,E02000070,Bexley 006,E09000004,Bexley,E12000007,London,1611,1611,0,60.8,640,2.5,0,0,0
E01000335,Bexley 003B,E02000067,Bexley 003,E09000004,Bexley,E12000007,London,1794,1794,0,12.9,638,2.8,0,0,0
E01000336,Bexley 003C,E02000067,Bexley 003,E09000004,Bexley,E12000007,London,1886,1886,0,104.3,793,2.4,0,0,0
E01000337,Bexley 003D,E02000067,Bexley 003,E09000004,Bexley,E12000007,London,1653,1653,0,60.2,663,2.5,0,0,0
E01000338,Bexley 003E,E02000067,Bexley 003,E09000004,Bexley,E12000007,London,1751,1751,0,101.1,693,2.5,0,0,0
E01000339,Bexley 025A,E02000089,Bexley 025,E09000004,Bexley,E12000007,London,1530,1530,0,60.0,602,2.5,0,0,0
E01000340,Bexley 018A,E02000082,Bexley 018,E09000004,Bexley,E12000007,London,1502,1502,0,64.6,619,2.4,4,0,4
E01000341,Bexley 022A,E02000086,Bexley 022,E09000004,Bexley,E12000007,London,1490,1485,5,61.3,610,2.4,1,0,1
E01000342,Bexley 022B,E02000086,Bexley 022,E09000004,Bexley,E12000007,London,1595,1595,0,72.9,644,2.5,0,0,0
E01000343,Bexley 022C,E02000086,Bexley 022,E09000004,Bexley,E12000007,London,1535,1535,0,50.7,550,2.8,1,0,1
E01000344,Bexley 025B,E02000089,Bexley 025,E09000004,Bexley,E12000007,London,1609,1609,0,71.1,646,2.5,0,0,0
E01000345,Bexley 022D,E02000086,Bexley 022,E09000004,Bexley,E12000007,London,1355,1355,0,65.2,487,2.8,0,0,0
E01000346,Bexley 021A,E02000085,Bexley 021,E09000004,Bexley,E12000007,London,1622,1622,0,46.6,625,2.6,0,0,0
E01000347,Bexley 021B,E02000085,Bexley 021,E09000004,Bexley,E12000007,London,1486,1486,0,75.6,618,2.4,3,0,3
E01000348,Bexley 020A,E02000084,Bexley 020,E09000004,Bexley,E12000007,London,1481,1481,0,50.5,523,2.8,2,0,2
E01000349,Bexley 020B,E02000084,Bexley 020,E09000004,Bexley,E12000007,London,1659,1659,0,49.8,650,2.6,4,0,4
E01000350,Bexley 021C,E02000085,Bexley 021,E09000004,Bexley,E12000007,London,1501,1501,0,55.7,521,2.9,0,0,0
E01000351,Bexley 024A,E02000088,Bexley 024,E09000004,Bexley,E12000007,London,1586,1586,0,50.7,616,2.6,0,0,0
E01000352,Bexley 021D,E02000085,Bexley 021,E09000004,Bexley,E12000007,London,1575,1575,0,45.7,676,2.3,6,0,6
E01000353,Bexley 011A,E02000075,Bexley 011,E09000004,Bexley,E12000007,London,1686,1686,0,49.9,662,2.5,0,0,0
E01000354,Bexley 011B,E02000075,Bexley 011,E09000004,Bexley,E12000007,London,1505,1505,0,73.3,623,2.4,0,0,0
E01000355,Bexley 011C,E02000075,Bexley 011,E09000004,Bexley,E12000007,London,1464,1436,28,34.8,613,2.3,2,0,2
E01000356,Bexley 009A,E02000073,Bexley 009,E09000004,Bexley,E12000007,London,1546,1546,0,50.0,628,2.5,0,0,0
E01000357,Bexley 009B,E02000073,Bexley 009,E09000004,Bexley,E12000007,London,1457,1457,0,72.3,488,3.0,0,0,0
E01000358,Bexley 011D,E02000075,Bexley 011,E09000004,Bexley,E12000007,London,1608,1608,0,54.6,659,2.4,0,0,0
E01000359,Bexley 009C,E02000073,Bexley 009,E09000004,Bexley,E12000007,London,1280,1280,0,62.8,488,2.6,0,0,0
E01000360,Bexley 015A,E02000079,Bexley 015,E09000004,Bexley,E12000007,London,1662,1580,82,37.8,662,2.4,6,0,6
E01000361,Bexley 020C,E02000084,Bexley 020,E09000004,Bexley,E12000007,London,1540,1540,0,54.0,602,2.6,0,0,0
E01000362,Bexley 015B,E02000079,Bexley 015,E09000004,Bexley,E12000007,London,1482,1482,0,37.6,626,2.4,7,0,7
E01000363,Bexley 020D,E02000084,Bexley 020,E09000004,Bexley,E12000007,London,1441,1441,0,34.4,565,2.6,0,0,0
E01000364,Bexley 023A,E02000087,Bexley 023,E09000004,Bexley,E12000007,London,1577,1577,0,36.4,651,2.4,2,0,2
E01000365,Bexley 015C,E02000079,Bexley 015,E09000004,Bexley,E12000007,London,1678,1612,66,49.2,700,2.3,0,0,0
E01000366,Bexley 015D,E02000079,Bexley 015,E09000004,Bexley,E12000007,London,1585,1581,4,67.2,655,2.4,0,0,0
E01000367,Bexley 010A,E02000074,Bexley 010,E09000004,Bexley,E12000007,London,1575,1528,47,60.1,605,2.5,4,0,4
E01000368,Bexley 010B,E02000074,Bexley 010,E09000004,Bexley,E12000007,London,1539,1539,0,64.7,632,2.4,1,0,1
E01000369,Bexley 014C,E02000078,Bexley 014,E09000004,Bexley,E12000007,London,1618,1618,0,60.8,626,2.6,3,0,3
E01000370,Bexley 014D,E02000078,Bexley 014,E09000004,Bexley,E12000007,London,1597,1597,0,49.0,649,2.5,4,0,4
E01000371,Bexley 014E,E02000078,Bexley 014,E09000004,Bexley,E12000007,London,1545,1545,0,66.8,634,2.4,0,0,0
E01000372,Bexley 010C,E02000074,Bexley 010,E09000004,Bexley,E12000007,London,1680,1645,35,73.3,593,2.8,0,0,0
E01000373,Bexley 008A,E02000072,Bexley 008,E09000004,Bexley,E12000007,London,1574,1574,0,176.9,688,2.3,0,0,0
E01000374,Bexley 019A,E02000083,Bexley 019,E09000004,Bexley,E12000007,London,1533,1533,0,20.6,534,2.9,0,0,0
E01000375,Bexley 019B,E02000083,Bexley 019,E09000004,Bexley,E12000007,London,1476,1476,0,34.4,565,2.6,0,0,0
E01000376,Bexley 019C,E02000083,Bexley 019,E09000004,Bexley,E12000007,London,1541,1541,0,28.0,606,2.5,0,0,0
