LSOA11CD,LSOA11NM,MSOA11CD,MSOA11NM,LAD11CD,LAD11NM,RGN11CD,RGN11NM,USUALRES,HHOLDRES,COMESTRES,POPDEN,HHOLDS,AVHHOLDSZ,area_km2,night_transport_pts,night_bus,night_tube,night_transport_density_km2,LAD19CD,LAD19NM
E01000123,Barnet 010D,E02000033,Barnet 010,E09000003,Barnet,E12000007,London,1664,1664,0,31.6,685,2.4,0.524552035,0,0,0,0,E09000003,Barnet
E01000124,Barnet 010E,E02000033,Barnet 010,E09000003,Barnet,E12000007,London,1621,1621,0,63.4,660,2.5,0.260025778,0,0,0,0,E09000003,Barnet
E01000125,Barnet 024A,E02000047,Barnet 024,E09000003,Barnet,E12000007,London,2779,2690,89,90.3,1015,2.7,0.303157156,1,1,0,3.29861915,E09000003,Barnet
E01000126,Barnet 026A,E02000049,Barnet 026,E09000003,Barnet,E12000007,London,2162,2162,0,134,726,3,0.157844498,3,3,0,19.00604728,E09000003,Barnet
E01000127,Barnet 024B,E02000047,Barnet 024,E09000003,Barnet,E12000007,London,1505,1505,0,75,514,2.9,0.196296238,2,2,0,10.18868228,E09000003,Barnet
E01000128,Barnet 024C,E02000047,Barnet 024,E09000003,Barnet,E12000007,London,1869,1869,0,75.7,624,3,0.242813522,1,1,0,4.118386787,E09000003,Barnet
E01000129,Barnet 024D,E02000047,Barnet 024,E09000003,Barnet,E12000007,London,1782,1715,67,103.7,624,2.7,0.173276331,8,7,1,46.16902928,E09000003,Barnet
E01000130,Barnet 021A,E02000044,Barnet 021,E09000003,Barnet,E12000007,London,1603,1603,0,93.6,570,2.8,0.176374048,2,2,0,11.33953676,E09000003,Barnet
E01000131,Barnet 024E,E02000047,Barnet 024,E09000003,Barnet,E12000007,London,1806,1796,10,53.7,634,2.8,0.334185156,1,1,0,2.992353142,E09000003,Barnet
E01000132,Barnet 021B,E02000044,Barnet 021,E09000003,Barnet,E12000007,London,1478,1478,0,96.3,495,3,0.153004035,0,0,0,0,E09000003,Barnet
